name Simple DTS
init {'Base7':1}
;
r0 {'prop':{'r0'}, 'position': (1.07, 2.37, 0.40)}
Base7 Base6 {'duration': 1, 'edge_weight': 1.000000}
Base7 r49 {'duration': 1, 'edge_weight': 1.414000}
Base7 Base7 {'duration': 1, 'edge_weight': 0.500000}
Base7 r61 {'duration': 1, 'edge_weight': 1.000000}
Base7 r120 {'duration': 1, 'edge_weight': 1.514000}
Base7 r121 {'duration': 1, 'edge_weight': 1.650000}
Base7 r132 {'duration': 1, 'edge_weight': 1.100000}
Base7 r133 {'duration': 1, 'edge_weight': 1.514000}
r61 Base6 {'duration': 1, 'edge_weight': 1.414000}
r61 r49 {'duration': 1, 'edge_weight': 1.000000}
r61 r50 {'duration': 1, 'edge_weight': 1.414000}
r61 Base7 {'duration': 1, 'edge_weight': 1.000000}
r61 r61 {'duration': 1, 'edge_weight': 0.500000}
r61 r62 {'duration': 1, 'edge_weight': 1.000000}
r61 r120 {'duration': 1, 'edge_weight': 1.650000}
r61 r121 {'duration': 1, 'edge_weight': 1.514000}
r61 r122 {'duration': 1, 'edge_weight': 1.650000}
r61 r132 {'duration': 1, 'edge_weight': 1.514000}
r61 r133 {'duration': 1, 'edge_weight': 1.100000}
r61 r134 {'duration': 1, 'edge_weight': 1.514000}
r62 r49 {'duration': 1, 'edge_weight': 1.414000}
r62 r50 {'duration': 1, 'edge_weight': 1.000000}
r62 r51 {'duration': 1, 'edge_weight': 1.414000}
r62 r61 {'duration': 1, 'edge_weight': 1.000000}
r62 r62 {'duration': 1, 'edge_weight': 0.500000}
r62 r63 {'duration': 1, 'edge_weight': 1.000000}
r62 r121 {'duration': 1, 'edge_weight': 1.650000}
r62 r122 {'duration': 1, 'edge_weight': 1.514000}
r62 r123 {'duration': 1, 'edge_weight': 1.650000}
r62 r133 {'duration': 1, 'edge_weight': 1.514000}
r62 r134 {'duration': 1, 'edge_weight': 1.100000}
r62 r135 {'duration': 1, 'edge_weight': 1.514000}
r63 r50 {'duration': 1, 'edge_weight': 1.414000}
r63 r51 {'duration': 1, 'edge_weight': 1.000000}
r63 r62 {'duration': 1, 'edge_weight': 1.000000}
r63 r63 {'duration': 1, 'edge_weight': 0.500000}
r63 r122 {'duration': 1, 'edge_weight': 1.650000}
r63 r123 {'duration': 1, 'edge_weight': 1.514000}
r63 r134 {'duration': 1, 'edge_weight': 1.514000}
r63 r135 {'duration': 1, 'edge_weight': 1.100000}
r66 r54 {'duration': 1, 'edge_weight': 1.000000}
r66 r55 {'duration': 1, 'edge_weight': 1.414000}
r66 r66 {'duration': 1, 'edge_weight': 0.500000}
r66 r67 {'duration': 1, 'edge_weight': 1.000000}
r66 r126 {'duration': 1, 'edge_weight': 1.514000}
r66 r127 {'duration': 1, 'edge_weight': 1.650000}
r66 r138 {'duration': 1, 'edge_weight': 1.100000}
r66 r139 {'duration': 1, 'edge_weight': 1.514000}
r67 r54 {'duration': 1, 'edge_weight': 1.414000}
r67 r55 {'duration': 1, 'edge_weight': 1.000000}
r67 Base3 {'duration': 1, 'edge_weight': 1.414000}
r67 r66 {'duration': 1, 'edge_weight': 1.000000}
r67 r67 {'duration': 1, 'edge_weight': 0.500000}
r67 Base1 {'duration': 1, 'edge_weight': 1.000000}
r67 r126 {'duration': 1, 'edge_weight': 1.650000}
r67 r127 {'duration': 1, 'edge_weight': 1.514000}
r67 r128 {'duration': 1, 'edge_weight': 1.650000}
r67 r138 {'duration': 1, 'edge_weight': 1.514000}
r67 r139 {'duration': 1, 'edge_weight': 1.100000}
r67 r140 {'duration': 1, 'edge_weight': 1.514000}
Base1 r55 {'duration': 1, 'edge_weight': 1.414000}
Base1 Base3 {'duration': 1, 'edge_weight': 1.000000}
Base1 Base4 {'duration': 1, 'edge_weight': 1.414000}
Base1 r67 {'duration': 1, 'edge_weight': 1.000000}
Base1 Base1 {'duration': 1, 'edge_weight': 0.500000}
Base1 Base2 {'duration': 1, 'edge_weight': 1.000000}
Base1 r127 {'duration': 1, 'edge_weight': 1.650000}
Base1 r128 {'duration': 1, 'edge_weight': 1.514000}
Base1 r129 {'duration': 1, 'edge_weight': 1.650000}
Base1 r139 {'duration': 1, 'edge_weight': 1.514000}
Base1 r140 {'duration': 1, 'edge_weight': 1.100000}
Base1 r141 {'duration': 1, 'edge_weight': 1.514000}
Base2 Base3 {'duration': 1, 'edge_weight': 1.414000}
Base2 Base4 {'duration': 1, 'edge_weight': 1.000000}
Base2 r58 {'duration': 1, 'edge_weight': 1.414000}
Base2 Base1 {'duration': 1, 'edge_weight': 1.000000}
Base2 Base2 {'duration': 1, 'edge_weight': 0.500000}
Base2 r70 {'duration': 1, 'edge_weight': 1.000000}
Base2 r128 {'duration': 1, 'edge_weight': 1.650000}
Base2 r129 {'duration': 1, 'edge_weight': 1.514000}
Base2 r130 {'duration': 1, 'edge_weight': 1.650000}
Base2 r140 {'duration': 1, 'edge_weight': 1.514000}
Base2 r141 {'duration': 1, 'edge_weight': 1.100000}
Base2 r142 {'duration': 1, 'edge_weight': 1.514000}
r70 Base4 {'duration': 1, 'edge_weight': 1.414000}
r70 r58 {'duration': 1, 'edge_weight': 1.000000}
r70 r59 {'duration': 1, 'edge_weight': 1.414000}
r70 Base2 {'duration': 1, 'edge_weight': 1.000000}
r70 r70 {'duration': 1, 'edge_weight': 0.500000}
r70 r71 {'duration': 1, 'edge_weight': 1.000000}
r70 r129 {'duration': 1, 'edge_weight': 1.650000}
r70 r130 {'duration': 1, 'edge_weight': 1.514000}
r70 r131 {'duration': 1, 'edge_weight': 1.650000}
r70 r141 {'duration': 1, 'edge_weight': 1.514000}
r70 r142 {'duration': 1, 'edge_weight': 1.100000}
r70 r143 {'duration': 1, 'edge_weight': 1.514000}
r71 r58 {'duration': 1, 'edge_weight': 1.414000}
r71 r59 {'duration': 1, 'edge_weight': 1.000000}
r71 r70 {'duration': 1, 'edge_weight': 1.000000}
r71 r71 {'duration': 1, 'edge_weight': 0.500000}
r71 r130 {'duration': 1, 'edge_weight': 1.650000}
r71 r131 {'duration': 1, 'edge_weight': 1.514000}
r71 r142 {'duration': 1, 'edge_weight': 1.514000}
r71 r143 {'duration': 1, 'edge_weight': 1.100000}
r72 r0 {'duration': 1, 'edge_weight': 1.100000}
r72 r1 {'duration': 1, 'edge_weight': 1.514000}
r72 r12 {'duration': 1, 'edge_weight': 1.514000}
r72 r13 {'duration': 1, 'edge_weight': 1.650000}
r72 r72 {'duration': 1, 'edge_weight': 0.500000}
r72 r73 {'duration': 1, 'edge_weight': 1.000000}
r72 r84 {'duration': 1, 'edge_weight': 1.000000}
r72 r85 {'duration': 1, 'edge_weight': 1.414000}
r72 r144 {'duration': 1, 'edge_weight': 1.100000}
r72 r145 {'duration': 1, 'edge_weight': 1.514000}
r72 r156 {'duration': 1, 'edge_weight': 1.514000}
r72 r157 {'duration': 1, 'edge_weight': 1.650000}
r73 r0 {'duration': 1, 'edge_weight': 1.514000}
r73 r1 {'duration': 1, 'edge_weight': 1.100000}
r73 r2 {'duration': 1, 'edge_weight': 1.514000}
r73 r12 {'duration': 1, 'edge_weight': 1.650000}
r73 r13 {'duration': 1, 'edge_weight': 1.514000}
r73 r14 {'duration': 1, 'edge_weight': 1.650000}
r73 r72 {'duration': 1, 'edge_weight': 1.000000}
r73 r73 {'duration': 1, 'edge_weight': 0.500000}
r73 r74 {'duration': 1, 'edge_weight': 1.000000}
r73 r84 {'duration': 1, 'edge_weight': 1.414000}
r73 r85 {'duration': 1, 'edge_weight': 1.000000}
r73 r86 {'duration': 1, 'edge_weight': 1.414000}
r73 r144 {'duration': 1, 'edge_weight': 1.514000}
r73 r145 {'duration': 1, 'edge_weight': 1.100000}
r73 r146 {'duration': 1, 'edge_weight': 1.514000}
r73 r156 {'duration': 1, 'edge_weight': 1.650000}
r73 r157 {'duration': 1, 'edge_weight': 1.514000}
r73 r158 {'duration': 1, 'edge_weight': 1.650000}
r74 r1 {'duration': 1, 'edge_weight': 1.514000}
r74 r2 {'duration': 1, 'edge_weight': 1.100000}
r74 Base8 {'duration': 1, 'edge_weight': 1.514000}
r74 r13 {'duration': 1, 'edge_weight': 1.650000}
r74 r14 {'duration': 1, 'edge_weight': 1.514000}
r74 r15 {'duration': 1, 'edge_weight': 1.650000}
r74 r73 {'duration': 1, 'edge_weight': 1.000000}
r74 r74 {'duration': 1, 'edge_weight': 0.500000}
r74 r75 {'duration': 1, 'edge_weight': 1.000000}
r74 r85 {'duration': 1, 'edge_weight': 1.414000}
r74 r86 {'duration': 1, 'edge_weight': 1.000000}
r74 r87 {'duration': 1, 'edge_weight': 1.414000}
r74 r145 {'duration': 1, 'edge_weight': 1.514000}
r74 r146 {'duration': 1, 'edge_weight': 1.100000}
r74 r147 {'duration': 1, 'edge_weight': 1.514000}
r74 r157 {'duration': 1, 'edge_weight': 1.650000}
r74 r158 {'duration': 1, 'edge_weight': 1.514000}
r74 r159 {'duration': 1, 'edge_weight': 1.650000}
r75 r2 {'duration': 1, 'edge_weight': 1.514000}
r75 Base8 {'duration': 1, 'edge_weight': 1.100000}
r75 Base9 {'duration': 1, 'edge_weight': 1.514000}
r75 r14 {'duration': 1, 'edge_weight': 1.650000}
r75 r15 {'duration': 1, 'edge_weight': 1.514000}
r75 r16 {'duration': 1, 'edge_weight': 1.650000}
r75 r74 {'duration': 1, 'edge_weight': 1.000000}
r75 r75 {'duration': 1, 'edge_weight': 0.500000}
r75 r76 {'duration': 1, 'edge_weight': 1.000000}
r75 r86 {'duration': 1, 'edge_weight': 1.414000}
r75 r87 {'duration': 1, 'edge_weight': 1.000000}
r75 r88 {'duration': 1, 'edge_weight': 1.414000}
r75 r146 {'duration': 1, 'edge_weight': 1.514000}
r75 r147 {'duration': 1, 'edge_weight': 1.100000}
r75 r148 {'duration': 1, 'edge_weight': 1.514000}
r75 r158 {'duration': 1, 'edge_weight': 1.650000}
r75 r159 {'duration': 1, 'edge_weight': 1.514000}
r75 r160 {'duration': 1, 'edge_weight': 1.650000}
r76 Base8 {'duration': 1, 'edge_weight': 1.514000}
r76 Base9 {'duration': 1, 'edge_weight': 1.100000}
r76 Base10 {'duration': 1, 'edge_weight': 1.514000}
r76 r15 {'duration': 1, 'edge_weight': 1.650000}
r76 r16 {'duration': 1, 'edge_weight': 1.514000}
r76 r17 {'duration': 1, 'edge_weight': 1.650000}
r76 r75 {'duration': 1, 'edge_weight': 1.000000}
r76 r76 {'duration': 1, 'edge_weight': 0.500000}
r76 r77 {'duration': 1, 'edge_weight': 1.000000}
r76 r87 {'duration': 1, 'edge_weight': 1.414000}
r76 r88 {'duration': 1, 'edge_weight': 1.000000}
r76 r89 {'duration': 1, 'edge_weight': 1.414000}
r76 r147 {'duration': 1, 'edge_weight': 1.514000}
r76 r148 {'duration': 1, 'edge_weight': 1.100000}
r76 r149 {'duration': 1, 'edge_weight': 1.514000}
r76 r159 {'duration': 1, 'edge_weight': 1.650000}
r76 r160 {'duration': 1, 'edge_weight': 1.514000}
r76 r161 {'duration': 1, 'edge_weight': 1.650000}
r77 Base9 {'duration': 1, 'edge_weight': 1.514000}
r77 Base10 {'duration': 1, 'edge_weight': 1.100000}
r77 r6 {'duration': 1, 'edge_weight': 1.514000}
r77 r16 {'duration': 1, 'edge_weight': 1.650000}
r77 r17 {'duration': 1, 'edge_weight': 1.514000}
r77 r18 {'duration': 1, 'edge_weight': 1.650000}
r77 r76 {'duration': 1, 'edge_weight': 1.000000}
r77 r77 {'duration': 1, 'edge_weight': 0.500000}
r77 r78 {'duration': 1, 'edge_weight': 1.000000}
r77 r88 {'duration': 1, 'edge_weight': 1.414000}
r77 r89 {'duration': 1, 'edge_weight': 1.000000}
r77 r90 {'duration': 1, 'edge_weight': 1.414000}
r77 r148 {'duration': 1, 'edge_weight': 1.514000}
r77 r149 {'duration': 1, 'edge_weight': 1.100000}
r77 r150 {'duration': 1, 'edge_weight': 1.514000}
r77 r160 {'duration': 1, 'edge_weight': 1.650000}
r77 r161 {'duration': 1, 'edge_weight': 1.514000}
r77 r162 {'duration': 1, 'edge_weight': 1.650000}
r78 Base10 {'duration': 1, 'edge_weight': 1.514000}
r78 r6 {'duration': 1, 'edge_weight': 1.100000}
r78 r17 {'duration': 1, 'edge_weight': 1.650000}
r78 r18 {'duration': 1, 'edge_weight': 1.514000}
r78 r77 {'duration': 1, 'edge_weight': 1.000000}
r78 r78 {'duration': 1, 'edge_weight': 0.500000}
r78 r89 {'duration': 1, 'edge_weight': 1.414000}
r78 r90 {'duration': 1, 'edge_weight': 1.000000}
r78 r149 {'duration': 1, 'edge_weight': 1.514000}
r78 r150 {'duration': 1, 'edge_weight': 1.100000}
r78 r161 {'duration': 1, 'edge_weight': 1.650000}
r78 r162 {'duration': 1, 'edge_weight': 1.514000}
r80 r8 {'duration': 1, 'edge_weight': 1.100000}
r80 r9 {'duration': 1, 'edge_weight': 1.514000}
r80 r20 {'duration': 1, 'edge_weight': 1.514000}
r80 r21 {'duration': 1, 'edge_weight': 1.650000}
r80 r80 {'duration': 1, 'edge_weight': 0.500000}
r80 r81 {'duration': 1, 'edge_weight': 1.000000}
r80 r92 {'duration': 1, 'edge_weight': 1.000000}
r80 r93 {'duration': 1, 'edge_weight': 1.414000}
r80 r152 {'duration': 1, 'edge_weight': 1.100000}
r80 r153 {'duration': 1, 'edge_weight': 1.514000}
r80 r164 {'duration': 1, 'edge_weight': 1.514000}
r80 r165 {'duration': 1, 'edge_weight': 1.650000}
r81 r8 {'duration': 1, 'edge_weight': 1.514000}
r81 r9 {'duration': 1, 'edge_weight': 1.100000}
r81 r10 {'duration': 1, 'edge_weight': 1.514000}
r81 r20 {'duration': 1, 'edge_weight': 1.650000}
r81 r21 {'duration': 1, 'edge_weight': 1.514000}
r81 r22 {'duration': 1, 'edge_weight': 1.650000}
r81 r80 {'duration': 1, 'edge_weight': 1.000000}
r81 r81 {'duration': 1, 'edge_weight': 0.500000}
r81 r82 {'duration': 1, 'edge_weight': 1.000000}
r81 r92 {'duration': 1, 'edge_weight': 1.414000}
r81 r93 {'duration': 1, 'edge_weight': 1.000000}
r81 r94 {'duration': 1, 'edge_weight': 1.414000}
r81 r152 {'duration': 1, 'edge_weight': 1.514000}
r81 r153 {'duration': 1, 'edge_weight': 1.100000}
r81 r154 {'duration': 1, 'edge_weight': 1.514000}
r81 r164 {'duration': 1, 'edge_weight': 1.650000}
r81 r165 {'duration': 1, 'edge_weight': 1.514000}
r81 r166 {'duration': 1, 'edge_weight': 1.650000}
r82 r9 {'duration': 1, 'edge_weight': 1.514000}
r82 r10 {'duration': 1, 'edge_weight': 1.100000}
r82 r11 {'duration': 1, 'edge_weight': 1.514000}
r82 r21 {'duration': 1, 'edge_weight': 1.650000}
r82 r22 {'duration': 1, 'edge_weight': 1.514000}
r82 r23 {'duration': 1, 'edge_weight': 1.650000}
r82 r81 {'duration': 1, 'edge_weight': 1.000000}
r82 r82 {'duration': 1, 'edge_weight': 0.500000}
r82 r83 {'duration': 1, 'edge_weight': 1.000000}
r82 r93 {'duration': 1, 'edge_weight': 1.414000}
r82 r94 {'duration': 1, 'edge_weight': 1.000000}
r82 r95 {'duration': 1, 'edge_weight': 1.414000}
r82 r153 {'duration': 1, 'edge_weight': 1.514000}
r82 r154 {'duration': 1, 'edge_weight': 1.100000}
r82 r155 {'duration': 1, 'edge_weight': 1.514000}
r82 r165 {'duration': 1, 'edge_weight': 1.650000}
r82 r166 {'duration': 1, 'edge_weight': 1.514000}
r82 r167 {'duration': 1, 'edge_weight': 1.650000}
r83 r10 {'duration': 1, 'edge_weight': 1.514000}
r83 r11 {'duration': 1, 'edge_weight': 1.100000}
r83 r22 {'duration': 1, 'edge_weight': 1.650000}
r83 r23 {'duration': 1, 'edge_weight': 1.514000}
r83 r82 {'duration': 1, 'edge_weight': 1.000000}
r83 r83 {'duration': 1, 'edge_weight': 0.500000}
r83 r94 {'duration': 1, 'edge_weight': 1.414000}
r83 r95 {'duration': 1, 'edge_weight': 1.000000}
r83 r154 {'duration': 1, 'edge_weight': 1.514000}
r83 r155 {'duration': 1, 'edge_weight': 1.100000}
r83 r166 {'duration': 1, 'edge_weight': 1.650000}
r83 r167 {'duration': 1, 'edge_weight': 1.514000}
r84 r0 {'duration': 1, 'edge_weight': 1.514000}
r84 r1 {'duration': 1, 'edge_weight': 1.650000}
r84 r12 {'duration': 1, 'edge_weight': 1.100000}
r84 r13 {'duration': 1, 'edge_weight': 1.514000}
r84 r24 {'duration': 1, 'edge_weight': 1.514000}
r84 r72 {'duration': 1, 'edge_weight': 1.000000}
r84 r73 {'duration': 1, 'edge_weight': 1.414000}
r84 r84 {'duration': 1, 'edge_weight': 0.500000}
r84 r85 {'duration': 1, 'edge_weight': 1.000000}
r84 r96 {'duration': 1, 'edge_weight': 1.000000}
r84 r144 {'duration': 1, 'edge_weight': 1.514000}
r84 r145 {'duration': 1, 'edge_weight': 1.650000}
r84 r156 {'duration': 1, 'edge_weight': 1.100000}
r84 r157 {'duration': 1, 'edge_weight': 1.514000}
r84 r168 {'duration': 1, 'edge_weight': 1.514000}
r85 r0 {'duration': 1, 'edge_weight': 1.650000}
r85 r1 {'duration': 1, 'edge_weight': 1.514000}
r85 r2 {'duration': 1, 'edge_weight': 1.650000}
r85 r12 {'duration': 1, 'edge_weight': 1.514000}
r85 r13 {'duration': 1, 'edge_weight': 1.100000}
r85 r14 {'duration': 1, 'edge_weight': 1.514000}
r85 r24 {'duration': 1, 'edge_weight': 1.650000}
r85 r72 {'duration': 1, 'edge_weight': 1.414000}
r85 r73 {'duration': 1, 'edge_weight': 1.000000}
r85 r74 {'duration': 1, 'edge_weight': 1.414000}
r85 r84 {'duration': 1, 'edge_weight': 1.000000}
r85 r85 {'duration': 1, 'edge_weight': 0.500000}
r85 r86 {'duration': 1, 'edge_weight': 1.000000}
r85 r96 {'duration': 1, 'edge_weight': 1.414000}
r85 r144 {'duration': 1, 'edge_weight': 1.650000}
r85 r145 {'duration': 1, 'edge_weight': 1.514000}
r85 r146 {'duration': 1, 'edge_weight': 1.650000}
r85 r156 {'duration': 1, 'edge_weight': 1.514000}
r85 r157 {'duration': 1, 'edge_weight': 1.100000}
r85 r158 {'duration': 1, 'edge_weight': 1.514000}
r85 r168 {'duration': 1, 'edge_weight': 1.650000}
r86 r1 {'duration': 1, 'edge_weight': 1.650000}
r86 r2 {'duration': 1, 'edge_weight': 1.514000}
r86 Base8 {'duration': 1, 'edge_weight': 1.650000}
r86 r13 {'duration': 1, 'edge_weight': 1.514000}
r86 r14 {'duration': 1, 'edge_weight': 1.100000}
r86 r15 {'duration': 1, 'edge_weight': 1.514000}
r86 r27 {'duration': 1, 'edge_weight': 1.650000}
r86 r73 {'duration': 1, 'edge_weight': 1.414000}
r86 r74 {'duration': 1, 'edge_weight': 1.000000}
r86 r75 {'duration': 1, 'edge_weight': 1.414000}
r86 r85 {'duration': 1, 'edge_weight': 1.000000}
r86 r86 {'duration': 1, 'edge_weight': 0.500000}
r86 r87 {'duration': 1, 'edge_weight': 1.000000}
r86 r99 {'duration': 1, 'edge_weight': 1.414000}
r86 r145 {'duration': 1, 'edge_weight': 1.650000}
r86 r146 {'duration': 1, 'edge_weight': 1.514000}
r86 r147 {'duration': 1, 'edge_weight': 1.650000}
r86 r157 {'duration': 1, 'edge_weight': 1.514000}
r86 r158 {'duration': 1, 'edge_weight': 1.100000}
r86 r159 {'duration': 1, 'edge_weight': 1.514000}
r86 r171 {'duration': 1, 'edge_weight': 1.650000}
r87 r2 {'duration': 1, 'edge_weight': 1.650000}
r87 Base8 {'duration': 1, 'edge_weight': 1.514000}
r87 Base9 {'duration': 1, 'edge_weight': 1.650000}
r87 r14 {'duration': 1, 'edge_weight': 1.514000}
r87 r15 {'duration': 1, 'edge_weight': 1.100000}
r87 r16 {'duration': 1, 'edge_weight': 1.514000}
r87 r27 {'duration': 1, 'edge_weight': 1.514000}
r87 r28 {'duration': 1, 'edge_weight': 1.650000}
r87 r74 {'duration': 1, 'edge_weight': 1.414000}
r87 r75 {'duration': 1, 'edge_weight': 1.000000}
r87 r76 {'duration': 1, 'edge_weight': 1.414000}
r87 r86 {'duration': 1, 'edge_weight': 1.000000}
r87 r87 {'duration': 1, 'edge_weight': 0.500000}
r87 r88 {'duration': 1, 'edge_weight': 1.000000}
r87 r99 {'duration': 1, 'edge_weight': 1.000000}
r87 r100 {'duration': 1, 'edge_weight': 1.414000}
r87 r146 {'duration': 1, 'edge_weight': 1.650000}
r87 r147 {'duration': 1, 'edge_weight': 1.514000}
r87 r148 {'duration': 1, 'edge_weight': 1.650000}
r87 r158 {'duration': 1, 'edge_weight': 1.514000}
r87 r159 {'duration': 1, 'edge_weight': 1.100000}
r87 r160 {'duration': 1, 'edge_weight': 1.514000}
r87 r171 {'duration': 1, 'edge_weight': 1.514000}
r87 r172 {'duration': 1, 'edge_weight': 1.650000}
r88 Base8 {'duration': 1, 'edge_weight': 1.650000}
r88 Base9 {'duration': 1, 'edge_weight': 1.514000}
r88 Base10 {'duration': 1, 'edge_weight': 1.650000}
r88 r15 {'duration': 1, 'edge_weight': 1.514000}
r88 r16 {'duration': 1, 'edge_weight': 1.100000}
r88 r17 {'duration': 1, 'edge_weight': 1.514000}
r88 r27 {'duration': 1, 'edge_weight': 1.650000}
r88 r28 {'duration': 1, 'edge_weight': 1.514000}
r88 r75 {'duration': 1, 'edge_weight': 1.414000}
r88 r76 {'duration': 1, 'edge_weight': 1.000000}
r88 r77 {'duration': 1, 'edge_weight': 1.414000}
r88 r87 {'duration': 1, 'edge_weight': 1.000000}
r88 r88 {'duration': 1, 'edge_weight': 0.500000}
r88 r89 {'duration': 1, 'edge_weight': 1.000000}
r88 r99 {'duration': 1, 'edge_weight': 1.414000}
r88 r100 {'duration': 1, 'edge_weight': 1.000000}
r88 r147 {'duration': 1, 'edge_weight': 1.650000}
r88 r148 {'duration': 1, 'edge_weight': 1.514000}
r88 r149 {'duration': 1, 'edge_weight': 1.650000}
r88 r159 {'duration': 1, 'edge_weight': 1.514000}
r88 r160 {'duration': 1, 'edge_weight': 1.100000}
r88 r161 {'duration': 1, 'edge_weight': 1.514000}
r88 r171 {'duration': 1, 'edge_weight': 1.650000}
r88 r172 {'duration': 1, 'edge_weight': 1.514000}
r89 Base9 {'duration': 1, 'edge_weight': 1.650000}
r89 Base10 {'duration': 1, 'edge_weight': 1.514000}
r89 r6 {'duration': 1, 'edge_weight': 1.650000}
r89 r16 {'duration': 1, 'edge_weight': 1.514000}
r89 r17 {'duration': 1, 'edge_weight': 1.100000}
r89 r18 {'duration': 1, 'edge_weight': 1.514000}
r89 r28 {'duration': 1, 'edge_weight': 1.650000}
r89 r30 {'duration': 1, 'edge_weight': 1.650000}
r89 r76 {'duration': 1, 'edge_weight': 1.414000}
r89 r77 {'duration': 1, 'edge_weight': 1.000000}
r89 r78 {'duration': 1, 'edge_weight': 1.414000}
r89 r88 {'duration': 1, 'edge_weight': 1.000000}
r89 r89 {'duration': 1, 'edge_weight': 0.500000}
r89 r90 {'duration': 1, 'edge_weight': 1.000000}
r89 r100 {'duration': 1, 'edge_weight': 1.414000}
r89 r102 {'duration': 1, 'edge_weight': 1.414000}
r89 r148 {'duration': 1, 'edge_weight': 1.650000}
r89 r149 {'duration': 1, 'edge_weight': 1.514000}
r89 r150 {'duration': 1, 'edge_weight': 1.650000}
r89 r160 {'duration': 1, 'edge_weight': 1.514000}
r89 r161 {'duration': 1, 'edge_weight': 1.100000}
r89 r162 {'duration': 1, 'edge_weight': 1.514000}
r89 r172 {'duration': 1, 'edge_weight': 1.650000}
r89 r174 {'duration': 1, 'edge_weight': 1.650000}
r90 Base10 {'duration': 1, 'edge_weight': 1.650000}
r90 r6 {'duration': 1, 'edge_weight': 1.514000}
r90 r17 {'duration': 1, 'edge_weight': 1.514000}
r90 r18 {'duration': 1, 'edge_weight': 1.100000}
r90 r30 {'duration': 1, 'edge_weight': 1.514000}
r90 r31 {'duration': 1, 'edge_weight': 1.650000}
r90 r77 {'duration': 1, 'edge_weight': 1.414000}
r90 r78 {'duration': 1, 'edge_weight': 1.000000}
r90 r89 {'duration': 1, 'edge_weight': 1.000000}
r90 r90 {'duration': 1, 'edge_weight': 0.500000}
r90 r102 {'duration': 1, 'edge_weight': 1.000000}
r90 r103 {'duration': 1, 'edge_weight': 1.414000}
r90 r149 {'duration': 1, 'edge_weight': 1.650000}
r90 r150 {'duration': 1, 'edge_weight': 1.514000}
r90 r161 {'duration': 1, 'edge_weight': 1.514000}
r90 r162 {'duration': 1, 'edge_weight': 1.100000}
r90 r174 {'duration': 1, 'edge_weight': 1.514000}
r90 r175 {'duration': 1, 'edge_weight': 1.650000}
r92 r8 {'duration': 1, 'edge_weight': 1.514000}
r92 r9 {'duration': 1, 'edge_weight': 1.650000}
r92 r20 {'duration': 1, 'edge_weight': 1.100000}
r92 r21 {'duration': 1, 'edge_weight': 1.514000}
r92 r31 {'duration': 1, 'edge_weight': 1.650000}
r92 r32 {'duration': 1, 'edge_weight': 1.514000}
r92 r80 {'duration': 1, 'edge_weight': 1.000000}
r92 r81 {'duration': 1, 'edge_weight': 1.414000}
r92 r92 {'duration': 1, 'edge_weight': 0.500000}
r92 r93 {'duration': 1, 'edge_weight': 1.000000}
r92 r103 {'duration': 1, 'edge_weight': 1.414000}
r92 r104 {'duration': 1, 'edge_weight': 1.000000}
r92 r105 {'duration': 1, 'edge_weight': 1.414000}
r92 r152 {'duration': 1, 'edge_weight': 1.514000}
r92 r153 {'duration': 1, 'edge_weight': 1.650000}
r92 r164 {'duration': 1, 'edge_weight': 1.100000}
r92 r165 {'duration': 1, 'edge_weight': 1.514000}
r92 r175 {'duration': 1, 'edge_weight': 1.650000}
r92 r176 {'duration': 1, 'edge_weight': 1.514000}
r92 r177 {'duration': 1, 'edge_weight': 1.650000}
r93 r8 {'duration': 1, 'edge_weight': 1.650000}
r93 r9 {'duration': 1, 'edge_weight': 1.514000}
r93 r10 {'duration': 1, 'edge_weight': 1.650000}
r93 r20 {'duration': 1, 'edge_weight': 1.514000}
r93 r21 {'duration': 1, 'edge_weight': 1.100000}
r93 r22 {'duration': 1, 'edge_weight': 1.514000}
r93 r32 {'duration': 1, 'edge_weight': 1.650000}
r93 r80 {'duration': 1, 'edge_weight': 1.414000}
r93 r81 {'duration': 1, 'edge_weight': 1.000000}
r93 r82 {'duration': 1, 'edge_weight': 1.414000}
r93 r92 {'duration': 1, 'edge_weight': 1.000000}
r93 r93 {'duration': 1, 'edge_weight': 0.500000}
r93 r94 {'duration': 1, 'edge_weight': 1.000000}
r93 r104 {'duration': 1, 'edge_weight': 1.414000}
r93 r105 {'duration': 1, 'edge_weight': 1.000000}
r93 r106 {'duration': 1, 'edge_weight': 1.414000}
r93 r152 {'duration': 1, 'edge_weight': 1.650000}
r93 r153 {'duration': 1, 'edge_weight': 1.514000}
r93 r154 {'duration': 1, 'edge_weight': 1.650000}
r93 r164 {'duration': 1, 'edge_weight': 1.514000}
r93 r165 {'duration': 1, 'edge_weight': 1.100000}
r93 r166 {'duration': 1, 'edge_weight': 1.514000}
r93 r176 {'duration': 1, 'edge_weight': 1.650000}
r93 r177 {'duration': 1, 'edge_weight': 1.514000}
r93 r178 {'duration': 1, 'edge_weight': 1.650000}
r94 r9 {'duration': 1, 'edge_weight': 1.650000}
r94 r10 {'duration': 1, 'edge_weight': 1.514000}
r94 r11 {'duration': 1, 'edge_weight': 1.650000}
r94 r21 {'duration': 1, 'edge_weight': 1.514000}
r94 r22 {'duration': 1, 'edge_weight': 1.100000}
r94 r23 {'duration': 1, 'edge_weight': 1.514000}
r94 r81 {'duration': 1, 'edge_weight': 1.414000}
r94 r82 {'duration': 1, 'edge_weight': 1.000000}
